dateTime,difficulty,player1Name,player2Name,result,finalScore,gameLengthSeconds
2025-12-20T14:35:04.634127,Medium,Player 1,Player 2,WIN,15,64
2025-12-20T19:15:30.7400186,Hard,test2,test3,LOSE,1,44
2025-12-20T19:16:12.4943172,Hard,test2,test3,LOSE,-94,36
2026-01-25T15:36:33.9904118,Easy,Player 1,Player 2,WIN,175,89
2026-01-25T19:16:11.3270755,Easy,Player 1,Player 2,WIN,155,103
2026-01-25T19:33:20.7233636,Easy,Salim,Mona,WIN,165,97
2026-01-25T19:36:00.983589,Easy,Salim,Mona,WIN,133,76
2026-01-25T19:42:03.8798292,Easy,Mona,Salim,WIN,126,58
2026-01-25T19:45:02.0247102,Easy,Salim,Jawad,WIN,118,53
2026-01-25T23:38:41.0839353,Easy,Player 1,Player 2,LOSE,112,36
2026-01-25T23:41:02.6713205,Easy,Player 1,Player 2,WIN,140,138
